,text,selected_text,sentiment,Age of User,Country
264,well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another org_NUMBER time_this time_morning,"well good morning all, what a wonderful day in the neighborhood  thanks for all those that are now following another 60 this morning",positive,0-20,Guinea
265,ftsk and mercy mercedes were amazing time_tonight as always,were amazing tonight..,positive,21-30,Guinea-Bissau
266,hope he is ok,hope,positive,31-45,Guyana
267,ca nt school just be done already it hurts too much seeing him every day,it hurts too much...,positive,46-60,Haiti
268,i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,"i waited, listening to wind blowing through the tumbleweed? are none of you old enough to know what to do when someone says 'crackerack'?",neutral,60-70,Holy See
269,hell yeah,hell yeah!,neutral,70-100,Honduras
270,him shirt at dinner do you need to ask does it actually have ville on it,him shirt at dinner? do you need to ask??  does it actually have ville on it?,neutral,0-20,Hungary
271,i know,i know!!,neutral,21-30,Iceland
272,huh what the smelly noo i love person_alex person_vixon,huh what the ****? smelly? noooo. i love alex vixon,neutral,31-45,India
273,went to a party time_last time_night dindin and i showed up in matching outfits great minds think alike anyway happy birthday ate lara,great,positive,46-60,Indonesia
274,happy bday just woke up on this side of earth so wishes are bit late,happy b-day!,positive,60-70,Iran
275,thank you for teaching me values and to be a better person date_each date_day i love so much you re the best mum in the world,thank,positive,70-100,Iraq
276,happy mothers day,happy,positive,0-20,Ireland
277,laughs i m glad that you have self confidence its a wonderful trait to have ill applaud extra loud for it okay,glad,positive,21-30,Israel
278,thanks,thanks,positive,31-45,Italy
279,twittering after too days,twittering after 2 days!,neutral,46-60,Jamaica
280,getting ready for date_week its too nice today to be stuck inside working,its too nice,positive,60-70,Japan
281,i am tres depressed,depressed,negative,70-100,Jordan
282,felt like behaved like my son ate to compensate pigged out on homeroasted sugar almonds painful tum threw up still feel sick,sick.,negative,0-20,Kazakhstan
283,happy mothers day people i love my mom a lot still,happy mothers day people. i love my mom a lot still,positive,21-30,Kenya
284,i m sorry to hear that,sorry,negative,31-45,Kiribati
285,that s awesome dude yay for surprise celebrities i got to meet him date_a date_few date_years date_ago he was soo friendly,", he was soooo friendly.",positive,46-60,Kuwait
286,it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,happy,positive,60-70,Kyrgyzstan
287,is getting the hang of twitter,is getting the hang of twitter.,neutral,70-100,Laos
288,you know your neck is jacked up when you are forced to pay for parking because you ca nt turn you head to parallel park in the free spaces,you know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,0-20,Latvia
289,i want it back now URL,i want it back now!:,neutral,21-30,Lebanon
290,going to miss my roomie we will no longer be roomies starting org_moro,miss,negative,31-45,Lesotho
291,bathing with cardinal_two little angels keyla and janice,"bathing with two little angels, keyla and janice.",neutral,46-60,Liberia
292,yep finished chocked full of spelling and grammatical errors but i m cleaning it up org_moro and popping it up hehe,chocked,negative,60-70,Libya
293,hahahha laughing out loud true that i always remember my birthday but i can never remember what date or even day it is,hahahha lol true that! i always remember my bd but i can never remember what date or even day it is,neutral,70-100,Liechtenstein
294,family is herehanging with them,"family is here,hanging with them",neutral,0-20,Lithuania
295,watching ellen love her then doing the dishes and tanning its gorgeous out,.it`s gorgeous out!,positive,21-30,Luxembourg
296,what s going on hun i m worried about you,m worried,negative,31-45,Madagascar
297,Instant Message not bannished but i am at work till,im not bannished.,negative,46-60,Malawi
298,time_morning if i get to see it ill let you know right now i m going to go see wolverine,"morning! if i get to see it, i`ll let you know. right now, i`m going to go see wolverine.",neutral,60-70,Malaysia
299,red top tabloids build them up knock them down,"red top tabloids, build em up, knock em down",neutral,70-100,Maldives
300,time_tonight in party with my girls minus vita,tonight in party w/ my girls (minus vita),positive,0-20,Mali
301,why not now you made me sad i thought you d be jumping for joy,why not now you made me sad i thought you`d be jumping for joy,neutral,21-30,Malta
302,simple my auser,simple my a#@,neutral,31-45,Marshall Islands
303,the pictures i just uploaded are the baby pictures of my cats missy is now an adult and a pretty little person_kitty but norp_batty is in kitten heaven now,"the pics i just uploaded are the baby pics of my cats. missy is now an adult and a pretty little kitty, but batty is in kitten heaven now",neutral,46-60,Mauritania
304,i saw the play of it here it was amazing,amazing,positive,60-70,Mauritius
305,_ i am glad to break my twitter virginity with you cardinal_two,glad,positive,70-100,Mexico
306,dinner with the fam i have missed them,i have missed them,negative,0-20,Micronesia
307,_ live that s what i want more the better bound to be a few bad eggs though but they will soon learn,"_live that`s what i want. more the better. bound to be a few bad eggs though, but they will soon learn.",neutral,21-30,Moldova
308,hell yeah person_kellynn got a twitter finally,hell yeah kellynn got a twitter. finally.,neutral,31-45,Monaco
309,i know it was worth a shot though,as wort,positive,46-60,Mongolia
310,just opened a facebook account i m a little confused i do nt really get it twitter seems much better,better,positive,60-70,Montenegro
311,ship i m stuck,ship. i`m stuck.,negative,70-100,Morocco
312,dustbin baby on at org_NUMBERNUMBER can not wait x,cannot wait,positive,0-20,Mozambique
313,not going to dwell on it it happened its passed just a shame as he was so supportive such is life x,shame,negative,21-30,Myanmar (formerly Burma)
315,it looks like the office television does get mlb network and it looks like mlbn will not be televising the detbal game date_today wieters,it looks like the office tv does get mlb network... and it looks like mlbn will not be televising the det/bal game today  #wieters,neutral,46-60,Nauru
316,home empty handed no comics found date_today i shall now indulge in my cupcakes from date_magnolia bakery,home empty handed.  no comics found today.  i shall now indulge in my cupcakes from magnolia bakery,neutral,60-70,Nepal
317,laying in bed until workk oh the life definitely pinched a nerve,definitely pinched a nerve.,negative,70-100,Netherlands
318,date_today is a busy day exhausting,exhausting!,negative,0-20,New Zealand
319,i was going to go on date_sunday but now i ve got too much going on date_that date_weekend,"i was going to go on sunday, but now i`ve got too much going on that weekend",neutral,21-30,Nicaragua
320,sorry to hear your flight got cancelled that blows,sorry,negative,31-45,Niger
321,ohh my tooth is hurts ohh Instant Message sad it very hurts,im sad it very hurts,negative,46-60,Nigeria
322,before i get too distracted i d like to thank my new followers for taking the trouble to follow me and to my others gpe_feelin the love,"before i get too distracted, i`d like to thank my new followers for taking the trouble to follow me! and to my others: feelin the love",positive,60-70,North Korea
323,you think you have bills haii just finished paying mine that s why i m broke,i`m broke,negative,70-100,North Macedonia
324,not sure it did nt say it was too big i just saw the pictures of you on your last birthday you looked so pretty i miss you,not sure it didn`t say it was 2 big. i jst saw the pics of u on ur last bday. you looked so pretty!! i miss you!!,neutral,0-20,Norway
325,sore throat planning the tet outing to marwell thoughgood times,sore throat. planning the tet outing to marwell though...good times,neutral,21-30,Oman
326,mcfly gig last nightt oh my God it was amazin did not sit down through the whole thing mcfly did you see me and person_ma best mate we were in tutus,it was amazin,positive,31-45,Pakistan
327,too days without sleep and now a migraine i thought life org_NUMBER was meant to be relaxing,now a migraine.,negative,46-60,Palau
328,there,there!,neutral,60-70,Palestine State
329,sucks,?sucks!?..,negative,70-100,Panama
330,when is the sway sway winner announced,whens the sway sway winner announced?,neutral,0-20,Papua New Guinea
331,ok will check it out,k will check it out...,neutral,21-30,Paraguay
332,doing pretty well up and wide awake,"doing pretty well,",positive,31-45,Peru
333,i want to wake up early and get a coffee moro date_today its going to be a busyy day but have to keep writing boo org_whoo,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,46-60,Philippines
334,i miss daddy and mommy,i miss daddy and mommy,negative,60-70,Poland
335,my dog is officially depressed that my brothers dogs are gone he does nt want to go outside and when we did he play halfheartedly,officially depressed,negative,70-100,Portugal
